volatile acidity,free sulfur dioxide,chlorides,density,pH,quality white
0.34 g(acetic acid)/dm^3,57.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.99016 g/cm^3,3.09 ,True
0.28 g(acetic acid)/dm^3,42.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9926 g/cm^3,3.42 ,True
0.28 g(acetic acid)/dm^3,37.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,0.99161 g/cm^3,3.28 ,True
0.25 g(acetic acid)/dm^3,29.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.99776 g/cm^3,3.2 ,True
0.27 g(acetic acid)/dm^3,24.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9898 g/cm^3,3.36 ,True
0.26 g(acetic acid)/dm^3,13.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,0.99254 g/cm^3,3.17 ,True
0.17 g(acetic acid)/dm^3,23.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99422 g/cm^3,3.08 ,True
0.13 g(acetic acid)/dm^3,48.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.41 ,True
0.2 g(acetic acid)/dm^3,21.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.99195 g/cm^3,3.11 ,True
0.27 g(acetic acid)/dm^3,36.0 mg/dm^3,0.098 g(sodium chloride)/dm^3,0.99412 g/cm^3,3.15 ,True
0.28 g(acetic acid)/dm^3,59.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.99558 g/cm^3,3.14 ,False
0.38 g(acetic acid)/dm^3,9.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.15 ,False
0.2 g(acetic acid)/dm^3,8.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.06 ,False
0.63 g(acetic acid)/dm^3,15.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,0.9969 g/cm^3,3.46 ,False
0.24 g(acetic acid)/dm^3,6.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9897 g/cm^3,3.3 ,False
0.39 g(acetic acid)/dm^3,49.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99787 g/cm^3,3.3 ,True
0.36 g(acetic acid)/dm^3,29.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.4 ,True
0.26 g(acetic acid)/dm^3,37.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.98944 g/cm^3,3.22 ,True
0.24 g(acetic acid)/dm^3,37.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.992 g/cm^3,3.27 ,True
0.24 g(acetic acid)/dm^3,26.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9954 g/cm^3,2.86 ,True
0.27 g(acetic acid)/dm^3,18.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99084 g/cm^3,3.06 ,True
0.455 g(acetic acid)/dm^3,33.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.98746 g/cm^3,3.21 ,True
0.18 g(acetic acid)/dm^3,43.0 mg/dm^3,-0.04 g(sodium chloride)/dm^3,0.9912 g/cm^3,3.32 ,True
0.19 g(acetic acid)/dm^3,63.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,0.9912 g/cm^3,3.27 ,True
0.49 g(acetic acid)/dm^3,10.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,0.9957 g/cm^3,3.39 ,False
0.47 g(acetic acid)/dm^3,18.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9921 g/cm^3,3.9 ,False
0.47 g(acetic acid)/dm^3,27.0 mg/dm^3,0.171 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.17 ,False
0.25 g(acetic acid)/dm^3,23.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.994 g/cm^3,2.99 ,True
0.36 g(acetic acid)/dm^3,29.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.99151 g/cm^3,2.96 ,True
0.26 g(acetic acid)/dm^3,30.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9962 g/cm^3,3.18 ,True
0.23 g(acetic acid)/dm^3,63.0 mg/dm^3,0.172 g(sodium chloride)/dm^3,0.9937 g/cm^3,3.11 ,True
0.31 g(acetic acid)/dm^3,5.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.07 ,False
0.16 g(acetic acid)/dm^3,70.5 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99706 g/cm^3,3.15 ,True
0.23 g(acetic acid)/dm^3,24.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.2 ,True
0.22 g(acetic acid)/dm^3,36.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.99297 g/cm^3,3.05 ,True
0.66 g(acetic acid)/dm^3,16.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,0.99743 g/cm^3,3.53 ,False
0.44 g(acetic acid)/dm^3,52.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9975 g/cm^3,3.12 ,True
0.24 g(acetic acid)/dm^3,36.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.19 ,False
0.35 g(acetic acid)/dm^3,5.0 mg/dm^3,0.09 g(sodium chloride)/dm^3,0.9986 g/cm^3,3.17 ,False
0.58 g(acetic acid)/dm^3,10.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,1.0008 g/cm^3,3.25 ,False
0.185 g(acetic acid)/dm^3,36.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99438 g/cm^3,3.26 ,True
0.29 g(acetic acid)/dm^3,38.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9941 g/cm^3,3.26 ,True
0.38 g(acetic acid)/dm^3,9.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.15 ,False
0.365 g(acetic acid)/dm^3,39.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.36 ,False
0.29 g(acetic acid)/dm^3,48.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99512 g/cm^3,3.21 ,False
0.4 g(acetic acid)/dm^3,45.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.99072 g/cm^3,3.31 ,True
0.23 g(acetic acid)/dm^3,9.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,0.99376 g/cm^3,3.21 ,False
0.19 g(acetic acid)/dm^3,32.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.16 ,False
0.27 g(acetic acid)/dm^3,5.0 mg/dm^3,0.358 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.25 ,False
0.705 g(acetic acid)/dm^3,6.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,0.9962 g/cm^3,3.44 ,False
0.31 g(acetic acid)/dm^3,52.0 mg/dm^3,0.021 g(sodium chloride)/dm^3,0.99038 g/cm^3,2.93 ,False
0.2 g(acetic acid)/dm^3,78.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.997 g/cm^3,3.14 ,True
0.31 g(acetic acid)/dm^3,33.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9896 g/cm^3,3.12 ,True
0.32 g(acetic acid)/dm^3,51.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.13 ,False
0.22 g(acetic acid)/dm^3,29.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.99177 g/cm^3,3.23 ,True
0.28 g(acetic acid)/dm^3,36.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,0.99353 g/cm^3,3.13 ,True
0.61 g(acetic acid)/dm^3,15.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.14 ,False
0.87 g(acetic acid)/dm^3,31.0 mg/dm^3,0.107 g(sodium chloride)/dm^3,0.99668 g/cm^3,3.26 ,False
0.36 g(acetic acid)/dm^3,22.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,0.99711 g/cm^3,3.31 ,True
0.3 g(acetic acid)/dm^3,38.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.04 ,True
0.56 g(acetic acid)/dm^3,12.0 mg/dm^3,0.104 g(sodium chloride)/dm^3,0.9964 g/cm^3,3.19 ,False
0.45 g(acetic acid)/dm^3,17.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.99058 g/cm^3,3.12 ,True
0.21 g(acetic acid)/dm^3,17.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.98953 g/cm^3,3.24 ,True
0.3 g(acetic acid)/dm^3,13.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99331 g/cm^3,3.24 ,False
0.22 g(acetic acid)/dm^3,42.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.991 g/cm^3,3.31 ,True
0.21 g(acetic acid)/dm^3,50.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,1.0012 g/cm^3,2.99 ,False
0.84 g(acetic acid)/dm^3,32.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.9952 g/cm^3,3.52 ,False
0.28 g(acetic acid)/dm^3,54.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.999 g/cm^3,3.08 ,True
0.23 g(acetic acid)/dm^3,29.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.99298 g/cm^3,3.29 ,False
0.56 g(acetic acid)/dm^3,38.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99642 g/cm^3,3.28 ,False
0.3 g(acetic acid)/dm^3,40.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.98968 g/cm^3,3.08 ,True
0.855 g(acetic acid)/dm^3,15.0 mg/dm^3,0.062 g(sodium chloride)/dm^3,0.99627 g/cm^3,3.54 ,False
0.24 g(acetic acid)/dm^3,31.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99142 g/cm^3,3.2 ,True
0.41 g(acetic acid)/dm^3,41.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.9949 g/cm^3,3.2 ,True
0.3 g(acetic acid)/dm^3,6.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.44 ,False
0.33 g(acetic acid)/dm^3,27.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.16 ,False
0.545 g(acetic acid)/dm^3,27.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,0.9965 g/cm^3,3.36 ,False
0.24 g(acetic acid)/dm^3,48.0 mg/dm^3,0.066 g(sodium chloride)/dm^3,0.9979 g/cm^3,2.89 ,True
0.15 g(acetic acid)/dm^3,17.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9932 g/cm^3,3.03 ,True
0.49 g(acetic acid)/dm^3,146.5 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9924 g/cm^3,3.24 ,False
0.34 g(acetic acid)/dm^3,47.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,0.9971 g/cm^3,3.42 ,False
0.19 g(acetic acid)/dm^3,39.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.98954 g/cm^3,3.21 ,True
0.29 g(acetic acid)/dm^3,3.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,0.9915 g/cm^3,3.39 ,False
0.24 g(acetic acid)/dm^3,18.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99825 g/cm^3,3.37 ,True
0.26 g(acetic acid)/dm^3,73.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.9969 g/cm^3,2.93 ,True
0.48 g(acetic acid)/dm^3,36.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,0.99524 g/cm^3,3.1 ,False
0.695 g(acetic acid)/dm^3,7.0 mg/dm^3,0.128 g(sodium chloride)/dm^3,0.9992 g/cm^3,3.17 ,False
0.43 g(acetic acid)/dm^3,24.0 mg/dm^3,0.092 g(sodium chloride)/dm^3,0.99798 g/cm^3,3.21 ,False
0.19 g(acetic acid)/dm^3,3.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,0.9897 g/cm^3,3.09 ,False
0.28 g(acetic acid)/dm^3,30.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9917 g/cm^3,3.09 ,False
0.28 g(acetic acid)/dm^3,24.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.28 ,False
0.18 g(acetic acid)/dm^3,31.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9898 g/cm^3,3.26 ,True
0.33 g(acetic acid)/dm^3,26.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9944 g/cm^3,3.42 ,False
0.235 g(acetic acid)/dm^3,34.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.07 ,True
0.32 g(acetic acid)/dm^3,47.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.99692 g/cm^3,3.07 ,True
0.6 g(acetic acid)/dm^3,11.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99268 g/cm^3,3.42 ,False
0.18 g(acetic acid)/dm^3,38.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9931 g/cm^3,3.16 ,True
0.26 g(acetic acid)/dm^3,52.5 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.03 ,True
0.3 g(acetic acid)/dm^3,33.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.23 ,True
0.36 g(acetic acid)/dm^3,40.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.34 ,True
0.37 g(acetic acid)/dm^3,19.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.98934 g/cm^3,3.04 ,True
0.36 g(acetic acid)/dm^3,29.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9908 g/cm^3,3.25 ,True
0.47 g(acetic acid)/dm^3,18.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.99518 g/cm^3,3.16 ,False
0.33 g(acetic acid)/dm^3,29.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99226 g/cm^3,3.11 ,False
0.32 g(acetic acid)/dm^3,25.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99268 g/cm^3,3.25 ,True
0.785 g(acetic acid)/dm^3,6.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,0.99664 g/cm^3,3.59 ,False
0.25 g(acetic acid)/dm^3,6.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.993 g/cm^3,3.23 ,False
0.28 g(acetic acid)/dm^3,50.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.9908 g/cm^3,3.06 ,True
0.23 g(acetic acid)/dm^3,37.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9978 g/cm^3,2.99 ,False
0.34 g(acetic acid)/dm^3,36.0 mg/dm^3,0.174 g(sodium chloride)/dm^3,0.99288 g/cm^3,2.92 ,False
0.56 g(acetic acid)/dm^3,25.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.99629 g/cm^3,3.34 ,False
0.23 g(acetic acid)/dm^3,39.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99209 g/cm^3,3.19 ,True
0.2 g(acetic acid)/dm^3,32.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99587 g/cm^3,3.31 ,True
0.17 g(acetic acid)/dm^3,47.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.99322 g/cm^3,3.08 ,True
0.44 g(acetic acid)/dm^3,18.0 mg/dm^3,0.1 g(sodium chloride)/dm^3,,3.22 ,False
0.77 g(acetic acid)/dm^3,16.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,0.99656 g/cm^3,3.27 ,False
0.18 g(acetic acid)/dm^3,7.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9939 g/cm^3,3.16 ,False
0.23 g(acetic acid)/dm^3,19.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.17 ,False
0.19 g(acetic acid)/dm^3,24.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99153 g/cm^3,3.18 ,True
0.625 g(acetic acid)/dm^3,6.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,0.9988 g/cm^3,3.11 ,False
0.24 g(acetic acid)/dm^3,36.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.19 ,False
0.34 g(acetic acid)/dm^3,55.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.996 g/cm^3,3.08 ,True
0.52 g(acetic acid)/dm^3,5.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,0.99666 g/cm^3,3.2 ,False
1.24 g(acetic acid)/dm^3,32.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,0.998 g/cm^3,3.15 ,False
0.21 g(acetic acid)/dm^3,32.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,1.0 g/cm^3,3.27 ,False
0.28 g(acetic acid)/dm^3,40.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,0.99374 g/cm^3,3.43 ,True
0.2 g(acetic acid)/dm^3,42.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99158 g/cm^3,3.48 ,True
0.25 g(acetic acid)/dm^3,27.0 mg/dm^3,0.061 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.08 ,False
0.13 g(acetic acid)/dm^3,24.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9956 g/cm^3,3.32 ,True
0.35 g(acetic acid)/dm^3,20.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,0.9962 g/cm^3,3.42 ,False
0.23 g(acetic acid)/dm^3,23.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99795 g/cm^3,3.32 ,False
0.31 g(acetic acid)/dm^3,39.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99513 g/cm^3,3.14 ,False
0.2 g(acetic acid)/dm^3,35.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9917 g/cm^3,3.46 ,True
0.32 g(acetic acid)/dm^3,3.0 mg/dm^3,0.098 g(sodium chloride)/dm^3,0.99506 g/cm^3,3.27 ,False
0.37 g(acetic acid)/dm^3,12.0 mg/dm^3,0.063 g(sodium chloride)/dm^3,0.9955 g/cm^3,3.17 ,False
0.18 g(acetic acid)/dm^3,20.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.9926 g/cm^3,3.04 ,True
0.25 g(acetic acid)/dm^3,24.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99411 g/cm^3,3.33 ,True
0.58 g(acetic acid)/dm^3,37.0 mg/dm^3,0.062 g(sodium chloride)/dm^3,0.99374 g/cm^3,3.35 ,False
0.67 g(acetic acid)/dm^3,32.0 mg/dm^3,0.117 g(sodium chloride)/dm^3,0.9968 g/cm^3,3.17 ,False
0.27 g(acetic acid)/dm^3,9.0 mg/dm^3,0.082 g(sodium chloride)/dm^3,0.99484 g/cm^3,3.19 ,False
0.17 g(acetic acid)/dm^3,34.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9914 g/cm^3,3.16 ,False
0.2 g(acetic acid)/dm^3,43.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.3 ,True
0.25 g(acetic acid)/dm^3,31.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99252 g/cm^3,3.07 ,True
0.28 g(acetic acid)/dm^3,21.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,0.9905 g/cm^3,3.19 ,False
0.44 g(acetic acid)/dm^3,33.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99124 g/cm^3,3.2 ,True
0.54 g(acetic acid)/dm^3,23.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,0.99636 g/cm^3,3.26 ,False
0.51 g(acetic acid)/dm^3,12.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.9929 g/cm^3,3.33 ,False
0.33 g(acetic acid)/dm^3,34.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.99028 g/cm^3,3.25 ,True
0.48 g(acetic acid)/dm^3,19.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.9927 g/cm^3,3.54 ,False
0.24 g(acetic acid)/dm^3,63.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99375 g/cm^3,3.33 ,True
0.6 g(acetic acid)/dm^3,3.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.99286 g/cm^3,3.22 ,False
0.18 g(acetic acid)/dm^3,28.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.9923 g/cm^3,3.0 ,True
0.3 g(acetic acid)/dm^3,44.5 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.49 ,True
0.105 g(acetic acid)/dm^3,57.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9973 g/cm^3,3.16 ,True
0.36 g(acetic acid)/dm^3,26.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99414 g/cm^3,3.38 ,False
0.48 g(acetic acid)/dm^3,35.0 mg/dm^3,0.094 g(sodium chloride)/dm^3,0.9982 g/cm^3,3.1 ,False
0.19 g(acetic acid)/dm^3,41.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,0.99382 g/cm^3,3.53 ,True
0.4 g(acetic acid)/dm^3,43.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.99186 g/cm^3,3.24 ,True
0.26 g(acetic acid)/dm^3,39.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9954 g/cm^3,2.99 ,True
0.25 g(acetic acid)/dm^3,41.0 mg/dm^3,0.021 g(sodium chloride)/dm^3,0.989315 g/cm^3,3.19 ,True
0.22 g(acetic acid)/dm^3,39.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.99855 g/cm^3,3.24 ,True
0.18 g(acetic acid)/dm^3,29.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.99406 g/cm^3,3.11 ,True
0.19 g(acetic acid)/dm^3,48.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,1.0006 g/cm^3,3.2 ,True
0.44 g(acetic acid)/dm^3,12.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.99134 g/cm^3,3.46 ,False
0.25 g(acetic acid)/dm^3,58.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.99454 g/cm^3,3.19 ,False
0.875 g(acetic acid)/dm^3,4.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,0.9994 g/cm^3,3.44 ,False
0.28 g(acetic acid)/dm^3,44.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99248 g/cm^3,3.26 ,True
0.29 g(acetic acid)/dm^3,21.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99736 g/cm^3,3.14 ,False
0.18 g(acetic acid)/dm^3,24.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9956 g/cm^3,3.25 ,True
0.15 g(acetic acid)/dm^3,65.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99688 g/cm^3,3.26 ,True
0.22 g(acetic acid)/dm^3,31.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.9928 g/cm^3,3.41 ,True
0.645 g(acetic acid)/dm^3,10.0 mg/dm^3,0.095 g(sodium chloride)/dm^3,1.00315 g/cm^3,2.92 ,False
0.23 g(acetic acid)/dm^3,67.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9951 g/cm^3,3.23 ,False
0.28 g(acetic acid)/dm^3,35.0 mg/dm^3,0.092 g(sodium chloride)/dm^3,0.9969 g/cm^3,3.3 ,False
0.25 g(acetic acid)/dm^3,29.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,0.99035 g/cm^3,3.14 ,True
0.26 g(acetic acid)/dm^3,12.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9923 g/cm^3,3.25 ,False
0.3 g(acetic acid)/dm^3,26.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.9925 g/cm^3,3.25 ,True
0.39 g(acetic acid)/dm^3,8.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,0.9992 g/cm^3,3.07 ,False
0.52 g(acetic acid)/dm^3,12.0 mg/dm^3,0.067 g(sodium chloride)/dm^3,0.9971 g/cm^3,3.36 ,False
0.43 g(acetic acid)/dm^3,5.0 mg/dm^3,0.214 g(sodium chloride)/dm^3,0.9994 g/cm^3,3.19 ,False
0.22 g(acetic acid)/dm^3,25.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.98966 g/cm^3,3.03 ,True
0.31 g(acetic acid)/dm^3,58.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9922 g/cm^3,3.18 ,False
0.4 g(acetic acid)/dm^3,7.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.08 ,False
0.785 g(acetic acid)/dm^3,10.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,0.99692 g/cm^3,3.29 ,False
0.16 g(acetic acid)/dm^3,30.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9938 g/cm^3,3.24 ,True
0.18 g(acetic acid)/dm^3,37.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,0.992 g/cm^3,3.3 ,True
0.635 g(acetic acid)/dm^3,25.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,0.99638 g/cm^3,3.29 ,False
0.21 g(acetic acid)/dm^3,31.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.9953 g/cm^3,3.22 ,True
0.29 g(acetic acid)/dm^3,11.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9924 g/cm^3,3.36 ,False
0.29 g(acetic acid)/dm^3,48.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.9981 g/cm^3,3.23 ,True
0.2 g(acetic acid)/dm^3,54.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99556 g/cm^3,3.19 ,True
0.18 g(acetic acid)/dm^3,31.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.98942 g/cm^3,3.16 ,True
0.33 g(acetic acid)/dm^3,27.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99475 g/cm^3,3.21 ,False
0.37 g(acetic acid)/dm^3,3.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,0.99817 g/cm^3,3.27 ,False
0.27 g(acetic acid)/dm^3,20.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,0.99228 g/cm^3,3.41 ,False
0.25 g(acetic acid)/dm^3,58.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.99454 g/cm^3,3.19 ,False
0.34 g(acetic acid)/dm^3,52.0 mg/dm^3,0.062 g(sodium chloride)/dm^3,0.99461 g/cm^3,3.17 ,True
0.36 g(acetic acid)/dm^3,87.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.01 ,False
0.12 g(acetic acid)/dm^3,35.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.9908 g/cm^3,3.32 ,True
0.19 g(acetic acid)/dm^3,48.5 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9986 g/cm^3,3.14 ,True
0.58 g(acetic acid)/dm^3,5.0 mg/dm^3,0.153 g(sodium chloride)/dm^3,0.99476 g/cm^3,3.21 ,False
0.3 g(acetic acid)/dm^3,27.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,0.99438 g/cm^3,3.09 ,False
